Reporting Area,MMWR Year,MMWR Week,"Hepatitis (viral, acute), type A, Current week","Hepatitis (viral, acute), type A, Current week, flag ","Hepatitis (viral, acute), type A, Previous 52 weeks Med","Hepatitis (viral, acute), type A, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type A, Previous 52 weeks Max","Hepatitis (viral, acute), type A, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type A, Cum 2014","Hepatitis (viral, acute), type A, Cum 2014, flag","Hepatitis (viral, acute), type A, Cum 2013","Hepatitis (viral, acute), type A, Cum 2013, flag","Hepatitis (viral, acute), type B, Current week","Hepatitis (viral, acute), type B, Current week, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Med","Hepatitis (viral, acute), type B, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type B, Previous 52 weeks Max","Hepatitis (viral, acute), type B, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type B, Cum 2014","Hepatitis (viral, acute), type B, Cum 2014, flag","Hepatitis (viral, acute), type B, Cum 2013","Hepatitis (viral, acute), type B, Cum 2013, flag","Hepatitis (viral, acute), type C, Current week","Hepatitis (viral, acute), type C, Current week, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Med","Hepatitis (viral, acute), type C, Previous 52 weeks Med, flag","Hepatitis (viral, acute), type C, Previous 52 weeks Max","Hepatitis (viral, acute), type C, Previous 52 weeks Max, flag","Hepatitis (viral, acute), type C, Cum 2014","Hepatitis (viral, acute), type C, Cum 2014, flag","Hepatitis (viral, acute), type C, Cum 2013","Hepatitis (viral, acute), type C, Cum 2013, flag",Location 1,Location 2
ILLINOIS,2017,13,,-,1,,5,,9,,16,,,-,0,,3,,4,,14,,,-,0,,3,,3,,12,,"ILLINOIS
(40.477092, -88.993221)",
PENNSYLVANIA,2017,13,1,,2,,7,,15,,12,,,-,2,,6,,25,,14,,,-,4,,16,,23,,82,,"PENNSYLVANIA
(40.789676, -77.858055)",
OREGON,2017,13,,,0,,2,,7,,4,,,-,0,,3,,4,,5,,,-,0,,2,,4,,5,,"OREGON
(44.567912, -120.156945)",
SOUTH CAROLINA,2017,13,,-,0,,4,,9,,5,,,-,0,,4,,3,,9,,,-,0,,2,,1,,3,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MASSACHUSETTS,2017,13,,-,1,,4,,9,,14,,,-,0,,2,,4,,12,,,-,5,,13,,15,,144,,"MASSACHUSETTS
(42.268546, -72.085064)",
NEVADA,2017,13,,-,0,,2,,2,,4,,,-,0,,2,,2,,4,,,-,0,,3,,5,,1,,"NEVADA
(39.491833, -117.070159)",
COLORADO,2017,13,,-,0,,3,,6,,7,,,-,0,,2,,3,,3,,,-,0,,3,,5,,6,,"COLORADO
(38.841772, -106.132562)",
DELAWARE,2017,13,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2017,13,,-,0,,3,,2,,3,,,-,0,,2,,,-,2,,,-,0,,1,,1,,10,,"CONNECTICUT
(41.544654, -72.651713)",
VERMONT,2017,13,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
DIST. OF COL.,2017,13,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
KENTUCKY,2017,13,,-,0,,2,,1,,,-,3,,3,,11,,56,,43,,,-,1,,8,,12,,29,,"KENTUCKY
(37.64591, -84.774043)",
CALIFORNIA,2017,13,,-,4,,9,,34,,52,,2,,2,,6,,20,,34,,,-,1,,5,,13,,8,,"CALIFORNIA
(37.640735, -121.002435)",
FLORIDA,2017,13,6,,2,,8,,43,,16,,9,,10,,17,,117,,115,,1,,4,,12,,58,,50,,"FLORIDA
(28.915325, -81.922409)",
NEBRASKA,2017,13,,-,0,,4,,1,,7,,,-,0,,2,,1,,1,,,-,0,,2,,,-,2,,"NEBRASKA
(41.640503, -99.367122)",
TEXAS,2017,13,,-,2,,7,,14,,37,,1,,2,,15,,21,,17,,,-,0,,4,,8,,8,,"TEXAS
(31.827233, -99.423022)",
WISCONSIN,2017,13,,-,0,,4,,1,,,-,,-,0,,2,,5,,4,,,-,1,,4,,1,,18,,"WISCONSIN
(44.395526, -89.834513)",
ARKANSAS,2017,13,,-,0,,3,,1,,,-,,-,1,,5,,10,,10,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
OHIO,2017,13,1,,0,,7,,5,,3,,2,,5,,13,,40,,94,,1,,3,,10,,21,,56,,"OHIO
(40.056807, -82.405897)",
ARIZONA,2017,13,2,,1,,2,,13,,13,,,-,0,,2,,5,,7,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
IDAHO,2017,13,,-,0,,1,,2,,1,,,-,0,,1,,3,,4,,1,,0,,1,,2,,2,,"IDAHO
(43.680635, -114.364237)",
NEW MEXICO,2017,13,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,13,,"NEW MEXICO
(34.520396, -106.244402)",
GEORGIA,2017,13,,-,1,,4,,7,,17,,1,,2,,7,,23,,33,,,-,1,,5,,5,,24,,"GEORGIA
(32.836038, -83.631709)",
MAINE,2017,13,,-,0,,1,,,-,2,,2,,1,,3,,15,,9,,,-,0,,3,,6,,7,,"MAINE
(45.252223, -68.986647)",
INDIANA,2017,13,,-,0,,1,,4,,7,,,-,5,,11,,30,,55,,,-,2,,7,,16,,38,,"INDIANA
(39.76845, -86.156212)",
MONTANA,2017,13,,-,0,,1,,3,,1,,,-,0,,1,,,-,,-,,-,0,,2,,7,,5,,"MONTANA
(47.062617, -109.430168)",
MARYLAND,2017,13,,-,0,,5,,7,,5,,,-,0,,3,,6,,9,,,-,0,,3,,6,,7,,"MARYLAND
(39.290443, -76.612333)",
SOUTH DAKOTA,2017,13,,-,0,,1,,,-,,-,,-,0,,1,,,-,2,,,-,0,,1,,2,,7,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NORTH DAKOTA,2017,13,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
ALABAMA,2017,13,,-,0,,2,,1,,8,,,-,1,,3,,12,,20,,,-,0,,4,,6,,7,,"ALABAMA
(32.839182, -86.631125)",
NEW YORK,2017,13,,-,1,,4,,13,,11,,2,,1,,4,,7,,8,,3,,3,,9,,30,,51,,"NEW YORK
(42.826892, -75.544286)",
MICHIGAN,2017,13,,-,2,,8,,34,,13,,,-,1,,4,,13,,12,,,-,2,,4,,13,,24,,"MICHIGAN
(44.66399, -84.711206)",
HAWAII,2017,13,,-,0,,39,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UNITED STATES,2017,14,12,,36,,111,,383,,387,,27,,61,,85,,699,,850,,14,,47,,81,,437,,874,,,
NEW ENGLAND,2017,14,,-,2,,5,,16,,24,,1,,2,,4,,22,,26,,,-,6,,15,,38,,179,,,
MID. ATLANTIC,2017,14,1,,5,,12,,56,,62,,2,,5,,10,,55,,48,,5,,9,,24,,68,,166,,,
NEW YORK CITY,2017,14,1,,1,,6,,27,,14,,,-,1,,4,,13,,12,,,-,0,,1,,,-,3,,,
E.N. CENTRAL,2017,14,,-,5,,20,,114,,52,,6,,11,,21,,123,,200,,1,,9,,19,,89,,174,,,
W.N. CENTRAL,2017,14,,-,1,,5,,4,,19,,2,,2,,7,,20,,28,,2,,2,,7,,17,,36,,,
S. ATLANTIC,2017,14,5,,7,,55,,92,,80,,9,,21,,35,,236,,300,,4,,9,,22,,108,,159,,,
E.S. CENTRAL,2017,14,,-,0,,4,,2,,10,,2,,10,,18,,135,,128,,,-,5,,16,,46,,87,,,
CONNECTICUT,2017,14,,-,0,,3,,3,,3,,,-,0,,2,,,-,2,,,-,0,,1,,1,,10,,"CONNECTICUT
(41.544654, -72.651713)",
W.S. CENTRAL,2017,14,,-,2,,8,,17,,48,,3,,4,,19,,58,,48,,,-,1,,5,,12,,13,,,
MOUNTAIN,2017,14,5,,2,,5,,34,,31,,,-,1,,4,,15,,17,,,-,3,,9,,33,,42,,,
PACIFIC,2017,14,1,,6,,47,,48,,61,,2,,3,,9,,35,,55,,2,,2,,9,,26,,18,,,
AMER. SAMOA,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
OHIO,2017,14,,-,0,,7,,5,,3,,6,,5,,13,,53,,100,,1,,3,,7,,25,,57,,"OHIO
(40.056807, -82.405897)",
DELAWARE,2017,14,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
NORTH CAROLINA,2017,14,,-,1,,5,,3,,15,,,-,3,,8,,10,,40,,,-,1,,4,,2,,26,,"NORTH CAROLINA
(35.47995, -79.180571)",
ARKANSAS,2017,14,,-,0,,3,,1,,,-,,-,1,,5,,11,,13,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
HAWAII,2017,14,,-,0,,39,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
UTAH,2017,14,,-,0,,2,,1,,4,,,-,0,,1,,2,,1,,,-,1,,6,,12,,18,,"UTAH
(39.359772, -111.584173)",
NEW HAMPSHIRE,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
VIRGINIA,2017,14,,-,2,,40,,11,,19,,2,,1,,3,,20,,14,,,-,1,,4,,10,,11,,"VIRGINIA
(37.542699, -78.45822)",
IOWA,2017,14,,-,0,,2,,1,,2,,,-,0,,2,,5,,3,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
CALIFORNIA,2017,14,,-,4,,9,,34,,53,,,-,2,,7,,21,,38,,,-,1,,5,,14,,8,,"CALIFORNIA
(37.640735, -121.002435)",
NEBRASKA,2017,14,,-,0,,4,,1,,7,,,-,0,,2,,1,,1,,1,,0,,2,,1,,2,,"NEBRASKA
(41.640503, -99.367122)",
INDIANA,2017,14,,-,0,,2,,5,,8,,,-,5,,12,,36,,61,,,-,2,,7,,21,,43,,"INDIANA
(39.76845, -86.156212)",
IDAHO,2017,14,1,,0,,1,,3,,,-,,-,0,,1,,3,,1,,,-,0,,1,,2,,2,,"IDAHO
(43.680635, -114.364237)",
MICHIGAN,2017,14,,-,4,,17,,93,,23,,,-,1,,8,,24,,19,,,-,2,,9,,37,,45,,"MICHIGAN
(44.66399, -84.711206)",
ARIZONA,2017,14,1,,1,,4,,16,,13,,,-,0,,2,,5,,7,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
ILLINOIS,2017,14,,-,1,,5,,9,,18,,,-,0,,4,,5,,15,,,-,0,,3,,5,,9,,"ILLINOIS
(40.477092, -88.993221)",
WYOMING,2017,14,1,,0,,0,,1,,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
SOUTH CAROLINA,2017,14,,-,0,,4,,9,,5,,,-,0,,4,,3,,10,,,-,0,,2,,1,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
MARYLAND,2017,14,,-,0,,5,,7,,6,,,-,0,,3,,7,,9,,,-,0,,3,,6,,10,,"MARYLAND
(39.290443, -76.612333)",
FLORIDA,2017,14,5,,2,,8,,49,,16,,7,,10,,17,,126,,130,,4,,4,,12,,63,,56,,"FLORIDA
(28.915325, -81.922409)",
KANSAS,2017,14,,-,0,,1,,1,,1,,,-,0,,3,,6,,6,,,-,0,,2,,3,,4,,"KANSAS
(38.345528, -98.201847)",
NORTH DAKOTA,2017,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
SOUTH DAKOTA,2017,14,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,,-,0,,1,,2,,7,,"SOUTH DAKOTA
(44.35371, -100.373709)",
MAINE,2017,14,,-,0,,1,,,-,2,,1,,1,,3,,17,,10,,,-,0,,3,,6,,7,,"MAINE
(45.252223, -68.986647)",
ALASKA,2017,14,,-,0,,1,,1,,,-,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
GUAM,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
ALABAMA,2017,14,,-,0,,2,,1,,8,,,-,1,,3,,14,,21,,,-,0,,4,,7,,9,,"ALABAMA
(32.839182, -86.631125)",
DIST. OF COL.,2017,14,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
NEVADA,2017,14,,-,0,,2,,2,,5,,,-,0,,2,,2,,4,,,-,0,,3,,7,,2,,"NEVADA
(39.491833, -117.070159)",
PENNSYLVANIA,2017,14,,-,2,,7,,16,,14,,2,,2,,6,,30,,16,,1,,4,,16,,28,,86,,"PENNSYLVANIA
(40.789676, -77.858055)",
LOUISIANA,2017,14,,-,0,,1,,1,,5,,,-,1,,6,,20,,11,,,-,0,,1,,2,,2,,"LOUISIANA
(31.2931, -92.463284)",
VIRGIN ISL.,2017,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
KENTUCKY,2017,14,,-,0,,2,,1,,,-,,-,3,,11,,57,,46,,,-,1,,8,,12,,30,,"KENTUCKY
(37.64591, -84.774043)",
NEW YORK,2017,14,,-,1,,4,,13,,12,,,-,1,,4,,7,,9,,4,,3,,9,,37,,55,,"NEW YORK
(42.826892, -75.544286)",
MISSISSIPPI,2017,14,,-,0,,0,,,-,2,,,-,1,,3,,13,,8,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
MISSOURI,2017,14,,-,0,,2,,1,,7,,2,,1,,3,,8,,11,,1,,0,,3,,10,,8,,"MISSOURI
(38.636168, -92.566292)",
COLORADO,2017,14,2,,0,,3,,8,,8,,,-,0,,2,,3,,4,,,-,0,,3,,5,,6,,"COLORADO
(38.841772, -106.132562)",
WISCONSIN,2017,14,,-,0,,4,,2,,,-,,-,0,,2,,5,,5,,,-,1,,4,,1,,20,,"WISCONSIN
(44.395526, -89.834513)",
WASHINGTON,2017,14,,-,0,,5,,1,,2,,2,,1,,6,,9,,8,,2,,1,,9,,6,,5,,"WASHINGTON
(47.517368, -120.467672)",
PUERTO RICO,2017,14,,-,0,,4,,1,,,-,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
TENNESSEE,2017,14,,-,0,,2,,,-,,-,2,,4,,8,,51,,53,,,-,2,,10,,27,,48,,"TENNESSEE
(35.681402, -85.774444)",
OREGON,2017,14,1,,0,,2,,10,,4,,,-,0,,3,,4,,5,,,-,0,,2,,6,,5,,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2017,14,,-,0,,4,,,-,4,,2,,0,,8,,3,,4,,,-,0,,4,,2,,2,,"OKLAHOMA
(35.468494, -97.521264)",
NEW MEXICO,2017,14,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,9,,"NEW MEXICO
(34.520396, -106.244402)",
MINNESOTA,2017,14,,-,0,,2,,,-,2,,,-,0,,2,,,-,4,,,-,0,,4,,,-,15,,"MINNESOTA
(46.357661, -94.793397)",
RHODE ISLAND,2017,14,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
NEW JERSEY,2017,14,,-,1,,4,,,-,22,,,-,0,,3,,5,,11,,,-,0,,3,,3,,22,,"NEW JERSEY
(40.104655, -74.386686)",
VERMONT,2017,14,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
WEST VIRGINIA,2017,14,,-,0,,4,,4,,2,,,-,4,,12,,44,,62,,,-,1,,6,,21,,27,,"WEST VIRGINIA
(38.668501, -80.709421)",
TEXAS,2017,14,,-,2,,7,,15,,39,,1,,2,,15,,24,,20,,,-,0,,4,,8,,9,,"TEXAS
(31.827233, -99.423022)",
MASSACHUSETTS,2017,14,,-,1,,4,,12,,15,,,-,0,,3,,5,,13,,,-,5,,14,,30,,160,,"MASSACHUSETTS
(42.268546, -72.085064)",
GEORGIA,2017,14,,-,1,,4,,8,,17,,,-,2,,7,,23,,35,,,-,1,,5,,5,,25,,"GEORGIA
(32.836038, -83.631709)",
C.N.M.I.,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
MONTANA,2017,14,,-,0,,1,,3,,1,,,-,0,,1,,,-,,-,,-,0,,2,,7,,5,,"MONTANA
(47.062617, -109.430168)",
UNITED STATES,2017,15,13,,32,,107,,357,,412,,10,,60,,82,,686,,941,,10,,46,,83,,432,,915,,,
NEW ENGLAND,2017,15,,-,2,,5,,17,,24,,,-,2,,4,,22,,27,,,-,6,,15,,38,,190,,,
MID. ATLANTIC,2017,15,8,,5,,12,,66,,71,,1,,5,,10,,59,,58,,,-,8,,24,,69,,173,,,
NEW YORK CITY,2017,15,4,,1,,6,,31,,15,,1,,1,,4,,14,,14,,,-,0,,1,,,-,3,,,
E.N. CENTRAL,2017,15,,-,5,,13,,85,,49,,,-,12,,21,,111,,233,,2,,8,,16,,78,,170,,,
W.N. CENTRAL,2017,15,,-,1,,5,,4,,22,,2,,2,,7,,23,,28,,1,,2,,7,,21,,38,,,
S. ATLANTIC,2017,15,,-,7,,55,,74,,85,,1,,20,,35,,200,,327,,2,,9,,22,,97,,167,,,
E.S. CENTRAL,2017,15,,-,0,,4,,3,,11,,4,,10,,18,,153,,138,,,-,5,,16,,49,,96,,,
W.S. CENTRAL,2017,15,2,,3,,8,,23,,50,,,-,4,,19,,62,,56,,1,,1,,5,,13,,17,,,
MOUNTAIN,2017,15,3,,2,,5,,37,,34,,,-,1,,4,,16,,15,,2,,2,,9,,37,,44,,,
PACIFIC,2017,15,,-,6,,47,,48,,66,,2,,3,,9,,40,,59,,2,,2,,9,,30,,20,,,
AMER. SAMOA,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,
MICHIGAN,2017,15,,-,3,,12,,63,,18,,,-,1,,4,,12,,15,,,-,2,,5,,24,,33,,"MICHIGAN
(44.66399, -84.711206)",
ALASKA,2017,15,,-,0,,1,,1,,,-,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,"ALASKA
(64.836661, -147.738891)",
MASSACHUSETTS,2017,15,,-,1,,4,,12,,15,,,-,0,,3,,5,,13,,,-,5,,14,,30,,170,,"MASSACHUSETTS
(42.268546, -72.085064)",
IDAHO,2017,15,,-,0,,1,,2,,1,,,-,0,,1,,3,,1,,1,,0,,1,,3,,2,,"IDAHO
(43.680635, -114.364237)",
MINNESOTA,2017,15,,-,0,,2,,,-,4,,,-,0,,2,,,-,4,,,-,0,,4,,,-,15,,"MINNESOTA
(46.357661, -94.793397)",
FLORIDA,2017,15,,-,2,,8,,31,,18,,,-,10,,17,,85,,141,,,-,4,,11,,45,,53,,"FLORIDA
(28.915325, -81.922409)",
GEORGIA,2017,15,,-,1,,4,,8,,17,,,-,2,,7,,23,,35,,,-,1,,5,,5,,27,,"GEORGIA
(32.836038, -83.631709)",
MONTANA,2017,15,,-,0,,1,,3,,1,,,-,0,,1,,,-,,-,,-,0,,2,,7,,5,,"MONTANA
(47.062617, -109.430168)",
GUAM,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"GUAM
(13.3532, 144.653198)",
OREGON,2017,15,,-,0,,2,,10,,4,,,-,0,,3,,6,,5,,,-,0,,2,,7,,6,,"OREGON
(44.567912, -120.156945)",
OKLAHOMA,2017,15,,-,0,,4,,,-,4,,,-,0,,8,,3,,4,,,-,0,,4,,2,,2,,"OKLAHOMA
(35.468494, -97.521264)",
COLORADO,2017,15,2,,0,,3,,10,,9,,,-,0,,2,,3,,4,,,-,0,,3,,5,,6,,"COLORADO
(38.841772, -106.132562)",
NEW YORK,2017,15,,-,1,,4,,13,,13,,,-,1,,4,,7,,11,,,-,3,,9,,37,,59,,"NEW YORK
(42.826892, -75.544286)",
IOWA,2017,15,,-,0,,2,,1,,2,,,-,0,,2,,5,,3,,,-,0,,0,,,-,,-,"IOWA
(42.46942, -93.815856)",
OHIO,2017,15,,-,0,,7,,5,,3,,,-,5,,13,,52,,105,,2,,3,,7,,27,,62,,"OHIO
(40.056807, -82.405897)",
RHODE ISLAND,2017,15,,-,0,,1,,,-,3,,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"RHODE ISLAND
(41.707447, -71.522488)",
PUERTO RICO,2017,15,,-,0,,4,,1,,,-,,-,0,,1,,,-,7,,,-,0,,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",
HAWAII,2017,15,,-,0,,39,,2,,2,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"HAWAII
(21.30992, -157.858158)",
INDIANA,2017,15,,-,0,,2,,5,,9,,,-,5,,14,,37,,93,,,-,2,,7,,21,,46,,"INDIANA
(39.76845, -86.156212)",
PENNSYLVANIA,2017,15,4,,2,,7,,20,,18,,,-,2,,6,,33,,22,,,-,4,,16,,29,,89,,"PENNSYLVANIA
(40.789676, -77.858055)",
VIRGINIA,2017,15,,-,2,,40,,11,,20,,,-,1,,3,,21,,15,,1,,1,,4,,14,,12,,"VIRGINIA
(37.542699, -78.45822)",
NORTH CAROLINA,2017,15,,-,1,,5,,3,,17,,,-,2,,8,,11,,48,,,-,1,,4,,2,,29,,"NORTH CAROLINA
(35.47995, -79.180571)",
KANSAS,2017,15,,-,0,,1,,1,,2,,,-,0,,3,,6,,6,,,-,0,,2,,5,,4,,"KANSAS
(38.345528, -98.201847)",
NEW MEXICO,2017,15,,-,0,,1,,,-,,-,,-,0,,1,,,-,,-,,-,0,,3,,,-,9,,"NEW MEXICO
(34.520396, -106.244402)",
CALIFORNIA,2017,15,,-,4,,9,,34,,57,,1,,2,,7,,24,,40,,,-,1,,5,,15,,8,,"CALIFORNIA
(37.640735, -121.002435)",
KENTUCKY,2017,15,,-,0,,2,,1,,1,,2,,3,,11,,63,,48,,,-,1,,8,,14,,34,,"KENTUCKY
(37.64591, -84.774043)",
ARKANSAS,2017,15,1,,0,,3,,2,,,-,,-,1,,5,,12,,16,,,-,0,,0,,,-,,-,"ARKANSAS
(34.748745, -92.275105)",
MISSISSIPPI,2017,15,,-,0,,1,,1,,2,,,-,1,,3,,14,,8,,,-,0,,0,,,-,,-,"MISSISSIPPI
(32.738663, -89.537312)",
NORTH DAKOTA,2017,15,,-,0,,1,,,-,,-,,-,0,,1,,,-,1,,,-,0,,1,,1,,,-,"NORTH DAKOTA
(47.475879, -100.121011)",
DELAWARE,2017,15,,-,0,,1,,1,,,-,,-,0,,1,,3,,,-,,-,0,,0,,,-,,-,"DELAWARE
(39.008676, -75.574561)",
CONNECTICUT,2017,15,,-,0,,3,,3,,4,,,-,0,,2,,,-,2,,,-,0,,1,,1,,10,,"CONNECTICUT
(41.544654, -72.651713)",
NEW JERSEY,2017,15,,-,1,,4,,2,,25,,,-,0,,3,,5,,11,,,-,0,,3,,3,,22,,"NEW JERSEY
(40.104655, -74.386686)",
ILLINOIS,2017,15,,-,1,,5,,10,,19,,,-,0,,4,,5,,15,,,-,0,,3,,5,,9,,"ILLINOIS
(40.477092, -88.993221)",
NEVADA,2017,15,,-,0,,2,,3,,6,,,-,0,,2,,3,,4,,1,,0,,3,,8,,2,,"NEVADA
(39.491833, -117.070159)",
WEST VIRGINIA,2017,15,,-,0,,4,,4,,2,,1,,4,,12,,48,,68,,,-,1,,6,,23,,31,,"WEST VIRGINIA
(38.668501, -80.709421)",
WASHINGTON,2017,15,,-,0,,5,,1,,3,,1,,1,,6,,9,,10,,2,,1,,9,,8,,6,,"WASHINGTON
(47.517368, -120.467672)",
MARYLAND,2017,15,,-,0,,5,,7,,6,,,-,0,,3,,6,,9,,1,,0,,3,,7,,11,,"MARYLAND
(39.290443, -76.612333)",
MISSOURI,2017,15,,-,0,,2,,1,,7,,1,,1,,3,,10,,11,,1,,0,,3,,12,,9,,"MISSOURI
(38.636168, -92.566292)",
C.N.M.I.,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",
DIST. OF COL.,2017,15,,U,0,,0,,,U,,U,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"DISTRICT OF COLUMBIA
(38.892062, -77.019912)",
UTAH,2017,15,,-,0,,2,,1,,4,,,-,0,,1,,2,,,-,,-,1,,6,,14,,20,,"UTAH
(39.359772, -111.584173)",
WISCONSIN,2017,15,,-,0,,4,,2,,,-,,-,0,,2,,5,,5,,,-,1,,4,,1,,20,,"WISCONSIN
(44.395526, -89.834513)",
VIRGIN ISL.,2017,15,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",
WYOMING,2017,15,,-,0,,1,,1,,,-,,U,0,,0,,,U,,U,,-,0,,0,,,-,,-,"WYOMING
(43.23558, -108.110518)",
ALABAMA,2017,15,,-,0,,2,,1,,8,,,-,1,,4,,18,,23,,,-,0,,4,,7,,10,,"ALABAMA
(32.839182, -86.631125)",
ARIZONA,2017,15,1,,1,,4,,17,,13,,,-,0,,2,,5,,6,,,-,0,,0,,,-,,-,"ARIZONA
(34.869712, -111.760902)",
SOUTH CAROLINA,2017,15,,-,0,,4,,9,,5,,,-,0,,4,,3,,11,,,-,0,,2,,1,,4,,"SOUTH CAROLINA
(34.009286, -81.037094)",
SOUTH DAKOTA,2017,15,,-,0,,1,,,-,,-,,-,0,,0,,,-,2,,,-,0,,1,,2,,8,,"SOUTH DAKOTA
(44.35371, -100.373709)",
NEBRASKA,2017,15,,-,0,,4,,1,,7,,1,,0,,2,,2,,1,,,-,0,,2,,1,,2,,"NEBRASKA
(41.640503, -99.367122)",
MAINE,2017,15,,-,0,,1,,,-,1,,,-,1,,3,,17,,11,,,-,0,,3,,6,,8,,"MAINE
(45.252223, -68.986647)",
TEXAS,2017,15,1,,2,,7,,18,,40,,,-,2,,15,,24,,22,,1,,0,,4,,9,,12,,"TEXAS
(31.827233, -99.423022)",
LOUISIANA,2017,15,,-,0,,1,,3,,6,,,-,1,,6,,23,,14,,,-,0,,1,,2,,3,,"LOUISIANA
(31.2931, -92.463284)",
VERMONT,2017,15,,-,0,,1,,1,,1,,,-,0,,1,,,-,1,,,-,0,,1,,1,,2,,"VERMONT
(43.622479, -72.51927)",
TENNESSEE,2017,15,,-,0,,2,,,-,,-,2,,4,,8,,58,,59,,,-,2,,10,,28,,52,,"TENNESSEE
(35.681402, -85.774444)",
NEW HAMPSHIRE,2017,15,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,"NEW HAMPSHIRE
(43.657736, -71.500736)",
